"Key","Name","Category","ProjectType","Lead","Url"
"J1","J1","其他","software",,"http://tvjira.hisense.com/projects/J1"
"J3","J3","其他","software",,"http://tvjira.hisense.com/projects/J3"
"JULYTV","July_TV","产品项目","software",,"http://tvjira.hisense.com/projects/JULYTV"
"JUOS","JUOS","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOS"
"JUOSV3R0","JUOS3.0","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOSV3R0"
"JUOSV4R0","JUOS4.0","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOSV4R0"
"JUOSV5R0","JUOS5.0","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOSV5R0"
"JUOSV6R0","JUOS6.0","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOSV6R0"
"JUOSV7R0","JUOS7.0","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOSV7R0"
"JUOSANDROID16","JUOS_Android16","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOSANDROID16"
"JUOSCI","JuOS个人CI问题管理","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOSCI"
"JUOSPT","JUOS平台主干管理项目","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOSPT"
"JUOSPM","JUOS项目","系统和OS平台","software",,"http://tvjira.hisense.com/projects/JUOSPM"
"K1","K1","其他","software",,"http://tvjira.hisense.com/projects/K1"
"K2","K2","其他","software",,"http://tvjira.hisense.com/projects/K2"
"K5","K5","其他","software",,"http://tvjira.hisense.com/projects/K5"
"K6","K6","其他","software",,"http://tvjira.hisense.com/projects/K6"
"K8","K8","其他","software",,"http://tvjira.hisense.com/projects/K8"
"KALILITECOMMONSP","Kali-lite面向全球多架构可移植方案研究","其他","software",,"http://tvjira.hisense.com/projects/KALILITECOMMONSP"
"HICLOUDKMS","KEY云管理平台","其他","software",,"http://tvjira.hisense.com/projects/HICLOUDKMS"
"KJ","KJ","其他","software",,"http://tvjira.hisense.com/projects/KJ"
"KL","KL","其他","software",,"http://tvjira.hisense.com/projects/KL"
"L1","L1","其他","software",,"http://tvjira.hisense.com/projects/L1"
"L3","L3","其他","software",,"http://tvjira.hisense.com/projects/L3"
"LA","LA","其他","software",,"http://tvjira.hisense.com/projects/LA"
"LANGOTEST","langoTest","测试质量和自动化","software",,"http://tvjira.hisense.com/projects/LANGOTEST"
"LD11","LD11","其他","software",,"http://tvjira.hisense.com/projects/LD11"
"LD20","LD20","其他","software",,"http://tvjira.hisense.com/projects/LD20"
"LMTKMULSCR","linux MTK平台多屏互动服务整合内部项目","MTK平台其他","software",,"http://tvjira.hisense.com/projects/LMTKMULSCR"
"LITAUTOTEST","LIT集成测试项目","测试质量和自动化","software",,"http://tvjira.hisense.com/projects/LITAUTOTEST"
"LIVETVCBB","LiveTV_CBB","产品项目","software",,"http://tvjira.hisense.com/projects/LIVETVCBB"
"LM100U30H","LM100U30H光学引擎项目","其他","software",,"http://tvjira.hisense.com/projects/LM100U30H"
"LOEWEEU","Loewe-EU","其他","software",,"http://tvjira.hisense.com/projects/LOEWEEU"
"M2","M2","其他","software",,"http://tvjira.hisense.com/projects/M2"
"M4","M4","其他","software",,"http://tvjira.hisense.com/projects/M4"
"M8","M8","其他","software",,"http://tvjira.hisense.com/projects/M8"
"M9","M9","其他","software",,"http://tvjira.hisense.com/projects/M9"
"MARPROJECT","MARS_Project","产品项目","software",,"http://tvjira.hisense.com/projects/MARPROJECT"
"MARSU10","MARS_Project_U10","产品项目","software",,"http://tvjira.hisense.com/projects/MARSU10"
"VIDAADTVALL","Mars主干DTV全球协议栈开发","系统和OS平台","software",,"http://tvjira.hisense.com/projects/VIDAADTVALL"
"VIDAAMARS","Mars主干开发与持续集成","系统和OS平台","software",,"http://tvjira.hisense.com/projects/VIDAAMARS"
"MATTER","Matter","其他","software",,"http://tvjira.hisense.com/projects/MATTER"
"MEDIACENTERCBB","MediaCenter_CBB","应用和多媒体","software",,"http://tvjira.hisense.com/projects/MEDIACENTERCBB"
